frame,time_sec,hand,normalized_distance,head_scale_px,head_source,wrist_x,wrist_y,head_cx,head_cy,c0_x,c0_y,c4_x,c4_y,c8_x,c8_y,c12_x,c12_y,c16_x,c16_y,c20_x,c20_y
603,20.100,Left,0.9785,175.65,ear,427.93,280.99,726.58,311.63,427.93,280.99,495.81,213.12,539.33,213.28,557.24,231.00,563.08,255.40,556.74,285.28
603,20.100,Right,0.9561,175.65,ear,452.97,274.13,726.58,311.63,452.97,274.13,562.28,276.84,554.38,266.71,548.63,244.91,538.66,228.85,515.69,215.45
604,20.133,Left,0.9994,173.13,ear,455.19,238.61,726.89,311.58,455.19,238.61,546.81,210.78,579.89,204.49,584.31,208.21,581.70,217.47,569.81,233.81
605,20.167,Right,0.9228,171.22,ear,491.42,207.75,726.97,311.53,491.42,207.75,606.82,208.93,620.08,180.91,611.57,163.43,601.43,150.51,584.76,140.33
606,20.200,Right,1.1161,168.78,ear,505.85,184.54,733.00,317.75,505.85,184.54,615.48,170.53,643.06,147.97,631.74,133.81,616.61,124.65,594.46,114.88
607,20.233,Left,1.1003,167.97,ear,519.66,160.93,732.75,323.19,519.66,160.93,619.85,176.86,661.66,127.51,652.30,105.02,631.80,92.24,608.45,82.34
608,20.267,Right,1.0943,168.55,ear,534.53,139.96,733.92,323.60,534.53,139.96,602.91,193.77,687.04,117.03,680.72,87.87,662.98,68.01,636.35,54.82
609,20.300,Left,1.3854,168.01,ear,552.38,120.23,734.67,330.37,552.38,120.23,678.27,104.54,708.34,77.38,700.95,51.70,683.52,37.11,655.46,28.38
609,20.300,Left,1.2082,168.01,ear,572.51,107.87,734.67,330.37,572.51,107.87,746.61,127.72,723.76,73.58,700.81,51.16,684.15,35.13,662.44,22.08
610,20.333,Left,1.2661,167.55,ear,573.17,88.69,733.50,331.12,573.17,88.69,707.71,120.55,723.47,47.03,714.04,18.21,693.36,8.97,666.67,2.62
612,20.400,Right,1.3377,172.16,ear,810.03,119.67,725.60,333.94,810.03,119.67,663.78,87.57,628.11,106.26,638.41,90.48,667.70,77.18,715.88,61.08
613,20.433,Right,1.3818,173.95,ear,794.68,104.74,723.55,334.34,794.68,104.74,729.10,42.32,636.36,65.06,617.90,81.81,629.45,86.71,651.24,102.56
665,22.167,Left,1.4320,152.01,ear,526.31,411.27,725.56,293.97,526.31,411.27,590.28,464.51,544.48,513.11,517.47,528.83,500.25,528.67,486.34,517.60
735,24.500,Left,1.8304,156.37,ear,929.38,552.72,601.51,300.69,929.38,552.72,785.71,523.03,731.73,555.58,750.61,591.50,783.84,617.62,831.74,627.53
736,24.533,Left,1.8267,154.44,ear,956.27,523.45,600.82,301.24,956.27,523.45,806.69,524.81,756.89,536.26,775.05,579.34,810.21,599.56,871.01,607.80
736,24.533,Left,1.8197,154.44,ear,1082.67,594.79,600.82,301.24,1082.67,594.79,873.47,533.48,769.09,526.33,776.90,563.66,806.01,589.26,865.00,608.33
737,24.567,Left,1.9677,152.93,ear,1104.43,613.07,601.18,302.06,1104.43,613.07,898.93,528.62,824.90,503.33,825.52,528.21,848.70,552.31,899.91,591.70
1072,35.733,Left,1.1319,167.05,ear,664.15,647.01,727.15,301.87,664.15,647.01,748.26,563.10,783.19,547.65,688.50,486.96,664.95,486.28,616.35,515.94
1073,35.767,Right,1.3674,168.65,ear,663.44,641.90,724.26,300.76,663.44,641.90,710.68,536.02,771.05,567.69,652.87,520.03,609.27,535.65,596.73,586.70
1075,35.833,Left,1.0404,163.85,ear,743.17,634.30,719.86,302.76,743.17,634.30,713.08,509.67,679.12,468.30,630.98,517.27,669.25,582.33,628.18,622.15
1076,35.867,Left,1.1169,164.69,ear,750.10,636.44,718.05,303.13,750.10,636.44,710.12,539.26,657.69,476.88,631.24,524.15,638.90,599.12,626.68,624.28
1077,35.900,Left,1.1309,165.64,ear,770.66,637.30,715.68,302.61,770.66,637.30,656.23,576.31,665.50,483.07,630.28,523.67,628.87,599.93,628.39,622.81
1103,36.767,Right,0.8835,152.58,ear,867.54,580.70,665.65,313.61,867.54,580.70,685.73,589.01,671.89,458.16,676.33,447.98,712.14,452.93,742.86,461.28
1112,37.067,Right,1.6148,153.98,ear,462.22,489.40,668.67,294.18,462.22,489.40,546.90,510.96,631.05,596.51,586.13,614.50,552.24,625.37,517.55,627.91
1114,37.133,Right,1.7028,159.67,ear,412.10,465.41,666.01,291.60,412.10,465.41,558.20,541.19,623.19,580.05,599.01,605.44,557.92,617.81,505.75,619.70
1116,37.200,Left,1.6385,170.30,ear,621.17,693.44,660.69,288.82,621.17,693.44,574.70,560.50,521.77,530.83,494.29,536.26,480.25,561.06,472.77,597.87
1118,37.267,Left,1.3534,175.82,ear,366.94,292.77,639.34,289.02,366.94,292.77,265.08,438.96,384.82,511.04,435.96,536.35,478.40,535.72,531.91,501.34
1119,37.300,Left,1.3474,169.86,ear,366.17,285.61,634.56,289.23,366.17,285.61,271.40,431.72,374.64,493.68,418.60,519.07,450.76,511.56,493.17,469.21
1121,37.367,Left,0.8963,167.99,ear,365.30,291.08,622.59,290.00,365.30,291.08,293.81,376.42,388.02,427.42,425.66,419.19,457.84,399.45,487.47,356.42
1126,37.533,Right,1.5758,170.85,ear,183.75,374.03,621.15,290.71,183.75,374.03,340.53,295.39,351.95,293.91,277.87,323.49,243.59,321.19,218.82,306.78
1127,37.567,Right,1.7407,170.66,ear,177.64,372.21,621.58,291.04,177.64,372.21,324.77,279.03,324.37,296.74,257.51,320.86,226.30,319.17,207.79,303.74
1128,37.600,Right,1.6509,170.58,ear,172.09,371.63,621.85,292.84,172.09,371.63,341.16,270.09,306.96,298.13,248.40,316.01,217.35,312.73,198.07,291.12
1129,37.633,Right,1.7992,170.59,ear,165.57,369.11,622.36,293.61,165.57,369.11,315.57,284.35,298.84,283.24,246.56,304.96,216.32,308.26,198.58,283.72
1130,37.667,Right,1.7805,170.44,ear,166.31,367.68,621.95,293.30,166.31,367.68,318.88,278.19,297.01,281.75,245.87,301.47,221.04,300.38,199.92,280.72
1131,37.700,Right,1.8007,170.30,ear,162.55,362.84,622.18,293.35,162.55,362.84,315.86,278.63,293.51,278.91,247.68,296.51,222.33,292.97,201.07,274.67
1132,37.733,Right,1.8166,169.82,ear,160.23,363.04,622.85,293.70,160.23,363.04,314.59,281.95,292.78,279.60,247.56,295.59,219.83,294.98,198.00,276.13
1133,37.767,Right,1.8692,170.27,ear,155.44,362.67,623.21,294.28,155.44,362.67,305.51,275.10,276.82,280.18,243.46,291.04,216.20,288.51,195.29,269.01
1134,37.800,Right,1.8543,169.89,ear,152.10,360.08,623.44,294.77,152.10,360.08,309.40,269.82,270.89,278.64,252.62,280.64,237.25,273.16,210.35,265.97
1135,37.833,Right,1.9077,169.76,ear,144.26,362.35,624.31,294.78,144.26,362.35,300.97,276.24,266.88,282.07,253.42,277.03,241.64,266.37,212.43,260.59
1136,37.867,Right,1.9436,169.20,ear,135.51,364.47,624.32,295.13,135.51,364.47,295.84,279.36,265.10,287.92,251.38,284.50,236.90,271.59,209.95,263.41
1137,37.900,Right,1.9577,169.05,ear,134.80,366.84,623.83,296.09,134.80,366.84,293.29,279.45,261.01,281.25,253.51,284.47,241.44,277.79,220.34,272.39
1138,37.933,Right,1.9975,167.31,ear,129.71,369.69,623.09,296.65,129.71,369.69,289.30,280.14,255.64,292.27,236.12,299.88,217.46,295.76,205.37,283.62
1139,37.967,Right,2.0279,167.61,ear,121.39,371.39,622.93,297.06,121.39,371.39,283.54,278.58,223.85,292.04,214.41,295.55,199.58,291.30,189.65,280.82
1140,38.000,Right,2.0767,167.40,ear,119.05,370.60,622.57,298.19,119.05,370.60,275.37,280.65,209.13,293.64,208.17,296.51,197.91,296.35,194.59,284.83
1141,38.033,Right,2.1038,167.98,ear,111.92,368.51,622.76,298.08,111.92,368.51,269.90,278.77,200.14,303.87,203.80,307.18,196.65,298.97,195.01,288.91
1142,38.067,Right,2.1218,168.04,ear,116.20,366.34,622.76,298.47,116.20,366.34,266.63,281.00,197.00,298.78,202.33,301.67,196.40,296.81,191.33,290.02
1143,38.100,Right,2.1153,168.10,ear,115.48,364.97,622.45,298.28,115.48,364.97,267.31,280.75,196.42,299.14,201.58,300.80,194.96,296.75,188.74,289.04
1144,38.133,Right,2.1425,168.08,ear,111.62,362.43,622.48,297.33,111.62,362.43,262.78,280.04,196.15,304.14,200.19,304.99,194.50,299.41,193.90,296.01
1145,38.167,Right,2.1634,168.26,ear,107.05,362.05,622.40,297.29,107.05,362.05,258.73,281.44,193.39,309.07,197.13,308.91,193.10,304.42,192.06,300.78
1146,38.200,Right,2.1469,168.37,ear,101.90,360.97,622.74,297.71,101.90,360.97,261.56,283.35,190.29,299.04,193.20,296.75,190.80,294.87,189.96,292.19
1147,38.233,Right,2.1604,169.88,ear,97.60,361.81,622.99,297.11,97.60,361.81,256.33,280.98,185.42,299.71,191.05,298.64,193.60,297.69,195.19,299.13
